id_hd;REGION;s1a1;s1a2;s1a3;s1a4;s1a5;s1a6;s2a1;s2a2;s2a3;s2a4;s2a5;s2a6;MEMBERS;Weight
3345;3;0;0;0;0;0;1;0;0;0;1;0;0;2;386.9712
3346;6;0;0;0;0;1;1;0;0;0;0;0;1;3;360.3307095
3347;4;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
3348;2;0;0;0;0;0;0;0;0;1;0;0;1;2;386.9712
3349;6;0;0;1;0;0;0;1;0;1;0;0;0;3;360.3307095
3350;2;0;0;1;0;0;0;1;0;1;0;0;0;3;360.3307095
3351;4;0;0;1;0;1;0;0;0;0;1;0;0;3;360.3307095
3352;4;1;1;0;1;0;0;0;0;1;0;0;0;4;369.9241363
3353;2;0;0;0;1;0;0;0;1;1;0;1;0;4;369.9241363
3354;4;0;0;0;1;0;0;0;1;1;0;1;0;4;369.9241363
3355;6;0;1;0;0;0;1;0;1;0;1;0;0;4;369.9241363
3356;1;1;0;1;0;1;0;0;0;1;0;1;0;5;317.0452195
3357;6;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
3358;2;0;1;0;1;0;0;0;0;1;0;0;0;3;360.3307095
3359;6;2;0;1;0;0;0;0;0;1;0;0;0;4;369.9241363
3360;1;0;0;0;0;1;0;0;0;0;1;0;0;2;386.9712
3361;1;2;0;1;0;0;0;0;0;1;0;1;0;5;317.0452195
3362;3;1;0;1;0;0;0;1;0;1;0;0;0;4;369.9241363
3363;3;0;0;0;0;1;0;1;0;0;0;1;0;3;360.3307095
3364;2;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
3365;3;0;1;0;1;0;0;0;1;0;1;0;1;5;317.0452195
3366;2;0;1;0;1;0;0;0;0;1;0;0;0;3;360.3307095
3367;5;0;2;0;0;1;0;0;0;0;1;0;1;5;317.0452195
3368;5;0;1;1;0;0;0;0;1;1;0;0;0;4;369.9241363
3369;4;0;0;0;0;0;1;0;0;0;0;0;1;2;386.9712
3370;2;0;2;0;1;0;0;0;0;1;0;0;0;4;369.9241363
3371;3;1;0;1;0;0;0;0;1;1;0;0;0;4;369.9241363
3372;1;0;0;0;0;0;1;0;0;0;0;1;0;2;386.9712
3373;2;0;1;0;1;0;0;0;0;0;1;0;0;3;360.3307095
3374;1;0;0;1;1;0;0;0;0;0;1;0;1;4;369.9241363
3375;6;0;0;1;1;0;0;0;1;0;1;0;0;4;369.9241363
3376;4;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
3377;3;0;1;0;1;0;0;0;1;1;0;0;0;4;369.9241363
3378;1;0;0;3;0;0;0;0;0;0;0;1;0;4;369.9241363
3379;4;0;0;1;0;0;0;0;0;1;0;0;0;2;386.9712
3380;3;0;0;1;0;0;0;1;0;1;0;1;0;4;369.9241363
3381;5;0;1;0;0;0;0;0;0;0;1;0;0;2;386.9712
3382;5;0;0;0;0;1;0;0;1;0;0;1;0;3;360.3307095
3383;1;1;1;0;1;0;0;0;1;0;1;0;0;5;317.0452195
